race_name,ppt_gender,distance_miles,date,med_time
Badder Marsh Night Ultra 50K,M,31.07,2019-06-15,5.986111111111112
Badder Marsh Night Ultra 50K,M,31.07,2022-06-25,6.400765000000001
Badder Marsh Night Ultra 50K,M,31.07,2023-06-24,7.12866
Badwater 135,F,135.0,2019-07-15,40.22027777777778
Badwater 135,F,135.0,2021-07-19,40.95930555555556
Badwater 135,F,135.0,2022-07-11,39.16111111111111
Badwater 135,F,135.0,2023-07-04,39.63
Badwater 135,M,135.0,2019-07-15,37.09930555555555
Badwater 135,M,135.0,2021-07-19,38.03861111111111
Badwater 135,M,135.0,2022-07-11,38.39180555555556
Badwater 135,M,135.0,2023-07-04,38.73458333333333
Bears Ears Ultra,F,18.64,2020-06-27,4.616944444444444
Bears Ears Ultra,F,18.64,2021-06-26,4.55625
Bears Ears Ultra,F,18.64,2022-06-25,4.666527777777778
Bears Ears Ultra,F,18.64,2023-06-24,4.229166666666667
Bears Ears Ultra,F,31.07,2020-06-27,8.999444444444444
Bears Ears Ultra,F,31.07,2021-06-26,8.556527777777777
Bears Ears Ultra,F,31.07,2022-06-25,9.577499999999999
Bears Ears Ultra,F,31.07,2023-06-24,8.339722222222223
Bears Ears Ultra,F,50.0,2021-06-26,12.035833333333333
Bears Ears Ultra,F,50.0,2022-06-25,12.638333333333332
Bears Ears Ultra,F,50.0,2023-06-24,13.68611111111111
Bears Ears Ultra,M,18.64,2020-06-27,3.9730555555555553
Bears Ears Ultra,M,18.64,2021-06-26,4.279444444444445
Bears Ears Ultra,M,18.64,2022-06-25,4.2118055555555545
Bears Ears Ultra,M,18.64,2023-06-24,3.740555555555555
Bears Ears Ultra,M,31.07,2020-06-27,7.942083333333333
Bears Ears Ultra,M,31.07,2021-06-26,8.438888888888888
Bears Ears Ultra,M,31.07,2022-06-25,8.422500000000001
Bears Ears Ultra,M,31.07,2023-06-24,7.540138888888889
Bears Ears Ultra,M,50.0,2021-06-26,12.598333333333333
Bears Ears Ultra,M,50.0,2022-06-25,12.527222222222223
Bears Ears Ultra,M,50.0,2023-06-24,13.43611111111111
Bee-utiful Sunflower Run,F,3.11,2022-05-15,0.7833333333333333
Bee-utiful Sunflower Run,F,3.11,2023-05-14,0.8
