race_name,ppt_gender,distance_miles,date,min_time
Bears Ears Ultra,F,31.07,2023-06-24,325.46666666666664
Bears Ears Ultra,F,50.0,2021-06-26,591.85
Bears Ears Ultra,F,50.0,2022-06-25,642.6333333333333
Bears Ears Ultra,F,50.0,2023-06-24,683.2
Bears Ears Ultra,M,18.64,2020-06-27,137.85
Bears Ears Ultra,M,18.64,2021-06-26,144.66666666666666
Bears Ears Ultra,M,18.64,2022-06-25,146.83333333333334
Bears Ears Ultra,M,18.64,2023-06-24,151.71666666666667
Bears Ears Ultra,M,31.07,2020-06-27,291.46666666666664
Bears Ears Ultra,M,31.07,2021-06-26,313.18333333333334
Bears Ears Ultra,M,31.07,2022-06-25,314.35
Bears Ears Ultra,M,31.07,2023-06-24,276.93333333333334
Bears Ears Ultra,M,50.0,2021-06-26,577.4
Bears Ears Ultra,M,50.0,2022-06-25,532.4833333333333
Bears Ears Ultra,M,50.0,2023-06-24,615.6
Bee-utiful Sunflower Run,F,3.11,2022-05-15,22.533333333333335
Bee-utiful Sunflower Run,F,3.11,2023-05-14,24.95
Bee-utiful Sunflower Run,F,6.21,2022-05-15,50.21666666666667
Bee-utiful Sunflower Run,F,6.21,2023-05-14,43.28333333333333
Bee-utiful Sunflower Run,F,8.14,2022-05-15,115.6
Bee-utiful Sunflower Run,M,3.11,2022-05-15,25.566666666666666
Bee-utiful Sunflower Run,M,3.11,2023-05-14,20.75
Bee-utiful Sunflower Run,M,6.21,2022-05-15,44.233333333333334
Bee-utiful Sunflower Run,M,6.21,2023-05-14,40.75
Bee-utiful Sunflower Run,M,8.14,2022-05-15,95.35
Bethel Hill Moonlight Boogie,F,26.2,2019-03-30,301.71666666666664
Bethel Hill Moonlight Boogie,F,26.2,2020-08-08,274.3
Bethel Hill Moonlight Boogie,F,26.2,2021-06-12,262.1666666666667
Bethel Hill Moonlight Boogie,F,26.2,2022-06-11,284.4
Bethel Hill Moonlight Boogie,F,26.2,2023-06-10,271.8
Bethel Hill Moonlight Boogie,F,50.0,2019-03-30,575.5666666666667
Bethel Hill Moonlight Boogie,F,50.0,2020-08-08,578.55
Bethel Hill Moonlight Boogie,F,50.0,2021-06-12,632.6
Bethel Hill Moonlight Boogie,F,50.0,2022-06-11,539.2666666666667
Bethel Hill Moonlight Boogie,F,50.0,2023-06-10,568.3166666666667
Bethel Hill Moonlight Boogie,M,26.2,2019-03-30,204.8
Bethel Hill Moonlight Boogie,M,26.2,2020-08-08,222.3
Bethel Hill Moonlight Boogie,M,26.2,2021-06-12,210.23333333333332
Bethel Hill Moonlight Boogie,M,26.2,2022-06-11,214.35
Bethel Hill Moonlight Boogie,M,26.2,2023-06-10,185.56666666666666
Bethel Hill Moonlight Boogie,M,50.0,2019-03-30,342.48333333333335
Bethel Hill Moonlight Boogie,M,50.0,2020-08-08,316.8
Bethel Hill Moonlight Boogie,M,50.0,2021-06-12,314.35
Bethel Hill Moonlight Boogie,M,50.0,2022-06-11,297.9
Bethel Hill Moonlight Boogie,M,50.0,2023-06-10,474.8333333333333
Big Butt,F,31.07,2019-07-04,306.53333333333336
Big Butt,F,31.07,2021-07-04,268.71666666666664
Big Butt,F,31.07,2022-07-04,278.8833333333333
Big Butt,F,31.07,2023-07-04,306.23333333333335
Big Butt,M,31.07,2019-07-04,257.28333333333336
Big Butt,M,31.07,2021-07-04,231.35
Big Butt,M,31.07,2022-07-04,233.41666666666666
Big Butt,M,31.07,2023-07-04,262.5833333333333
Big Butts,F,15.53,2023-07-15,164.2
Big Butts,F,31.07,2019-07-20,342.3451333333333
Big Butts,F,31.07,2020-07-18,374.0226333333333
Big Butts,F,31.07,2021-07-31,319.8
Big Butts,F,31.07,2022-07-30,332.5833333333333
Big Butts,F,31.07,2023-07-15,310.21666666666664
Big Butts,F,62.14,2021-07-31,818.8166666666667
Big Butts,M,15.53,2023-07-15,147.35
Big Butts,M,31.07,2019-07-20,319.4686
Big Butts,M,31.07,2020-07-18,248.05243333333334
Big Butts,M,31.07,2021-07-31,306.81666666666666
Big Butts,M,31.07,2022-07-30,226.76666666666668
Big Butts,M,31.07,2023-07-15,230.9
Big Butts,M,62.14,2019-07-20,655.81835
Big Butts,M,62.14,2020-07-18,605.9481
Big Butts,M,62.14,2021-07-31,728.3833333333333
Big Butts,M,62.14,2022-07-30,477.93333333333334
Big Butts,M,62.14,2023-07-15,640.9166666666666
Big Foot Trail Run,F,3.11,2019-06-22,24.183333333333334
Big Foot Trail Run,F,3.11,2020-06-20,27.783333333333335
Big Foot Trail Run,F,3.11,2021-06-19,28.983333333333334
Big Foot Trail Run,F,3.11,2022-06-18,26.6
Big Foot Trail Run,F,3.11,2023-06-17,25.116666666666667
Big Foot Trail Run,F,6.21,2019-06-22,54.35
Big Foot Trail Run,F,6.21,2020-06-20,55.78333333333333
Big Foot Trail Run,F,6.21,2021-06-19,54.38333333333333
Big Foot Trail Run,F,6.21,2022-06-18,54.31666666666667
Big Foot Trail Run,F,6.21,2023-06-17,47.56666666666667
Big Foot Trail Run,M,3.11,2019-06-22,24.15
Big Foot Trail Run,M,3.11,2020-06-20,22.316666666666666
Big Foot Trail Run,M,3.11,2021-06-19,20.916666666666668
Big Foot Trail Run,M,3.11,2022-06-18,26.416666666666668
Big Foot Trail Run,M,3.11,2023-06-17,23.75
Big Foot Trail Run,M,6.21,2019-06-22,45.5
Big Foot Trail Run,M,6.21,2020-06-20,45.416666666666664
Big Foot Trail Run,M,6.21,2021-06-19,50.1
Big Foot Trail Run,M,6.21,2022-06-18,42.483333333333334
Big Foot Trail Run,M,6.21,2023-06-17,40.266666666666666
Birds Hill Trail Series v2,F,3.1,2022-06-30,21.480966666666667
Birds Hill Trail Series v2,F,3.1,2023-06-29,23.282916666666665
Birds Hill Trail Series v2,F,4.97,2022-06-30,34.05
Birds Hill Trail Series v2,F,8.08,2022-06-30,56.05
Birds Hill Trail Series v2,F,8.08,2023-06-29,61.9927
Birds Hill Trail Series v2,M,3.1,2022-06-30,19.80825
Birds Hill Trail Series v2,M,3.1,2023-06-29,19.1208
Birds Hill Trail Series v2,M,4.97,2022-06-30,32.61666666666667
Birds Hill Trail Series v2,M,8.08,2022-06-30,53.333333333333336
Birds Hill Trail Series v2,M,8.08,2023-06-29,53.04325
Bishop High Sierra Ultras,F,3.73,2019-06-01,35.2
Bishop High Sierra Ultras,F,3.73,2021-05-22,36.55
Bishop High Sierra Ultras,F,3.73,2022-05-21,37.21666666666667
Bishop High Sierra Ultras,F,3.73,2023-05-20,32.93333333333333
Bishop High Sierra Ultras,F,20.0,2019-06-01,180.68333333333334
Bishop High Sierra Ultras,F,20.0,2021-05-22,197.91666666666666
Bishop High Sierra Ultras,F,20.0,2022-05-21,207.76666666666668
Bishop High Sierra Ultras,F,20.0,2023-05-20,187.85
Bishop High Sierra Ultras,F,31.07,2019-06-01,356.81666666666666
Bishop High Sierra Ultras,F,34.18,2021-05-22,303.65
Bishop High Sierra Ultras,F,34.18,2022-05-21,288.8833333333333
Bishop High Sierra Ultras,F,34.18,2023-05-20,312.25
Bishop High Sierra Ultras,F,50.0,2019-06-01,551.8
Bishop High Sierra Ultras,F,50.0,2021-05-22,542.4666666666667
Bishop High Sierra Ultras,F,50.0,2022-05-21,617.5
Bishop High Sierra Ultras,F,50.0,2023-05-20,563.3833333333333
Bishop High Sierra Ultras,F,62.14,2019-06-01,765.0333333333333
Bishop High Sierra Ultras,F,62.14,2021-05-22,721.0833333333334
Bishop High Sierra Ultras,F,62.14,2022-05-21,877.4833333333333
Bishop High Sierra Ultras,F,62.14,2023-05-20,774.2
Bishop High Sierra Ultras,M,3.73,2019-06-01,24.933333333333334
Bishop High Sierra Ultras,M,3.73,2021-05-22,22.733333333333334
